freq,psd_x,psd_y,psd_z,psd_xyz,zv(52.8),mzv(52.2),ei(62.4),2hump_ei(44.6),3hump_ei(92.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.995,0.992,0.991,0.980,0.988
3.2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.987,0.982,0.980,0.950,0.973
4.8,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.978,0.969,0.965,0.911,0.955
6.3,4.329e+01,9.238e+01,1.177e+01,1.474e+02,0.967,0.953,0.947,0.863,0.933
7.9,4.938e+01,1.226e+02,9.392e+00,1.814e+02,0.953,0.934,0.927,0.809,0.908
9.5,5.240e+01,1.410e+02,7.576e+00,2.010e+02,0.937,0.913,0.903,0.748,0.880
11.1,5.427e+01,1.496e+02,6.671e+00,2.105e+02,0.920,0.890,0.878,0.684,0.850
12.7,5.445e+01,1.519e+02,5.850e+00,2.122e+02,0.901,0.864,0.849,0.616,0.817
14.3,5.492e+01,1.560e+02,5.209e+00,2.161e+02,0.879,0.836,0.819,0.546,0.783
15.9,5.785e+01,1.693e+02,4.208e+00,2.314e+02,0.856,0.807,0.787,0.476,0.746
17.5,6.110e+01,1.795e+02,3.977e+00,2.446e+02,0.832,0.775,0.753,0.407,0.708
19.0,6.417e+01,1.852e+02,3.890e+00,2.532e+02,0.805,0.742,0.717,0.341,0.669
20.6,6.474e+01,1.909e+02,4.052e+00,2.597e+02,0.777,0.708,0.681,0.278,0.629
22.2,6.409e+01,1.975e+02,3.756e+00,2.653e+02,0.748,0.672,0.643,0.220,0.588
23.8,6.429e+01,2.030e+02,3.409e+00,2.707e+02,0.717,0.635,0.604,0.167,0.547
25.4,6.687e+01,2.129e+02,3.181e+00,2.829e+02,0.685,0.597,0.565,0.121,0.506
27.0,6.936e+01,2.287e+02,2.745e+00,3.009e+02,0.651,0.559,0.525,0.082,0.465
28.6,7.297e+01,2.480e+02,2.578e+00,3.236e+02,0.616,0.520,0.485,0.051,0.425
30.2,7.651e+01,2.696e+02,2.439e+00,3.485e+02,0.580,0.480,0.445,0.032,0.386
31.7,8.264e+01,2.951e+02,2.371e+00,3.801e+02,0.543,0.441,0.406,0.028,0.348
33.3,9.205e+01,3.244e+02,2.377e+00,4.188e+02,0.506,0.401,0.367,0.032,0.311
34.9,9.664e+01,3.537e+02,2.232e+00,4.526e+02,0.467,0.362,0.329,0.037,0.275
36.5,1.019e+02,3.863e+02,2.310e+00,4.905e+02,0.428,0.324,0.292,0.038,0.241
38.1,1.126e+02,4.358e+02,2.219e+00,5.507e+02,0.388,0.286,0.256,0.036,0.209
39.7,1.236e+02,5.093e+02,2.191e+00,6.351e+02,0.347,0.248,0.222,0.030,0.180
41.3,1.419e+02,6.114e+02,2.610e+00,7.559e+02,0.306,0.212,0.189,0.023,0.152
42.9,1.589e+02,7.742e+02,2.553e+00,9.356e+02,0.265,0.177,0.158,0.014,0.127
44.4,1.825e+02,1.026e+03,3.095e+00,1.212e+03,0.223,0.144,0.129,0.011,0.104
46.0,2.498e+02,1.461e+03,6.723e+00,1.718e+03,0.182,0.112,0.102,0.013,0.085
47.6,3.732e+02,2.354e+03,2.257e+01,2.750e+03,0.141,0.082,0.078,0.020,0.068
49.2,4.710e+02,3.349e+03,5.092e+01,3.871e+03,0.104,0.056,0.057,0.027,0.054
50.8,7.708e+02,3.217e+03,6.153e+01,4.049e+03,0.077,0.040,0.038,0.031,0.045
52.4,1.755e+03,2.149e+03,4.921e+01,3.953e+03,0.063,0.034,0.025,0.032,0.039
54.0,3.153e+03,1.053e+03,3.539e+01,4.241e+03,0.068,0.040,0.020,0.029,0.037
55.6,3.392e+03,5.454e+02,3.293e+01,3.970e+03,0.089,0.051,0.023,0.027,0.037
57.1,2.394e+03,3.897e+02,3.050e+01,2.814e+03,0.118,0.069,0.029,0.027,0.038
58.7,1.450e+03,3.490e+02,2.444e+01,1.823e+03,0.157,0.085,0.035,0.031,0.039
60.3,9.188e+02,3.679e+02,1.789e+01,1.305e+03,0.196,0.098,0.038,0.038,0.040
61.9,6.358e+02,3.505e+02,1.171e+01,9.980e+02,0.234,0.110,0.040,0.049,0.040
63.5,4.187e+02,2.472e+02,7.773e+00,6.737e+02,0.272,0.119,0.039,0.077,0.039
65.1,2.550e+02,1.461e+02,6.665e+00,4.078e+02,0.309,0.126,0.035,0.108,0.037
66.7,1.497e+02,8.115e+01,6.541e+00,2.374e+02,0.345,0.131,0.031,0.142,0.034
68.3,8.840e+01,4.463e+01,6.284e+00,1.393e+02,0.380,0.133,0.029,0.178,0.031
69.8,5.485e+01,2.724e+01,5.771e+00,8.786e+01,0.414,0.133,0.028,0.214,0.027
71.4,3.336e+01,2.255e+01,5.568e+00,6.148e+01,0.446,0.131,0.030,0.252,0.022
73.0,1.825e+01,2.545e+01,5.157e+00,4.885e+01,0.478,0.126,0.035,0.288,0.018
74.6,9.391e+00,3.715e+01,4.937e+00,5.147e+01,0.508,0.119,0.043,0.323,0.015
76.2,4.791e+00,5.854e+01,5.524e+00,6.886e+01,0.537,0.110,0.055,0.357,0.012
77.8,1.900e+00,8.930e+01,6.240e+00,9.744e+01,0.565,0.099,0.075,0.387,0.012
79.4,7.803e-01,1.264e+02,6.518e+00,1.337e+02,0.591,0.094,0.097,0.414,0.013
81.0,1.690e+00,1.680e+02,6.674e+00,1.763e+02,0.615,0.088,0.120,0.437,0.016
82.5,4.307e+00,1.992e+02,6.711e+00,2.102e+02,0.638,0.084,0.144,0.455,0.019
84.1,8.931e+00,2.271e+02,6.839e+00,2.429e+02,0.660,0.081,0.169,0.468,0.022
85.7,1.595e+01,2.798e+02,7.056e+00,3.028e+02,0.680,0.080,0.195,0.476,0.025
87.3,2.681e+01,3.526e+02,6.927e+00,3.863e+02,0.698,0.083,0.221,0.479,0.027
88.9,4.568e+01,3.918e+02,6.616e+00,4.441e+02,0.714,0.089,0.248,0.477,0.029
90.5,7.026e+01,3.658e+02,8.347e+00,4.444e+02,0.729,0.097,0.275,0.469,0.030
92.1,1.010e+02,3.224e+02,1.305e+01,4.364e+02,0.742,0.109,0.303,0.456,0.030
93.7,1.589e+02,2.718e+02,2.035e+01,4.511e+02,0.753,0.122,0.329,0.439,0.030
