freq,psd_x,psd_y,psd_z,psd_xyz,zv(52.2),mzv(56.0),ei(42.6),2hump_ei(78.2),3hump_ei(94.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.995,0.993,0.986,0.990,0.989
3.2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.987,0.984,0.966,0.976,0.974
4.8,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.978,0.972,0.939,0.959,0.956
6.4,8.279e+01,3.839e+01,1.097e+01,1.321e+02,0.966,0.957,0.907,0.940,0.934
7.9,1.079e+02,4.929e+01,8.934e+00,1.662e+02,0.952,0.941,0.869,0.917,0.910
9.5,1.121e+02,5.093e+01,7.583e+00,1.706e+02,0.936,0.922,0.826,0.892,0.883
11.1,1.079e+02,5.126e+01,6.794e+00,1.660e+02,0.918,0.901,0.779,0.864,0.853
12.7,1.075e+02,5.209e+01,6.041e+00,1.656e+02,0.899,0.878,0.728,0.833,0.821
14.3,1.078e+02,5.356e+01,5.283e+00,1.667e+02,0.877,0.854,0.674,0.801,0.787
15.9,1.144e+02,5.764e+01,4.747e+00,1.768e+02,0.854,0.827,0.618,0.767,0.752
17.5,1.181e+02,6.008e+01,4.409e+00,1.826e+02,0.828,0.799,0.560,0.731,0.715
19.1,1.202e+02,6.235e+01,4.102e+00,1.866e+02,0.801,0.769,0.502,0.694,0.676
20.6,1.187e+02,6.558e+01,3.713e+00,1.880e+02,0.773,0.738,0.443,0.656,0.637
22.2,1.228e+02,6.996e+01,3.231e+00,1.960e+02,0.743,0.706,0.386,0.617,0.597
23.8,1.282e+02,7.449e+01,3.019e+00,2.057e+02,0.711,0.672,0.330,0.577,0.556
25.4,1.336e+02,7.786e+01,3.027e+00,2.145e+02,0.678,0.638,0.276,0.537,0.516
27.0,1.411e+02,8.198e+01,2.741e+00,2.258e+02,0.644,0.603,0.225,0.497,0.476
28.6,1.497e+02,8.919e+01,2.722e+00,2.416e+02,0.609,0.567,0.177,0.458,0.436
30.2,1.606e+02,9.710e+01,2.669e+00,2.604e+02,0.572,0.531,0.134,0.418,0.397
31.8,1.745e+02,1.057e+02,2.580e+00,2.827e+02,0.535,0.494,0.095,0.380,0.359
33.3,1.882e+02,1.196e+02,2.503e+00,3.104e+02,0.496,0.457,0.061,0.342,0.322
34.9,2.065e+02,1.354e+02,2.360e+00,3.442e+02,0.457,0.421,0.035,0.306,0.286
36.5,2.332e+02,1.532e+02,2.160e+00,3.886e+02,0.417,0.384,0.020,0.271,0.253
38.1,2.628e+02,1.840e+02,2.154e+00,4.489e+02,0.376,0.348,0.024,0.237,0.221
39.7,3.021e+02,2.308e+02,2.016e+00,5.350e+02,0.335,0.312,0.033,0.206,0.190
41.3,3.692e+02,2.943e+02,1.931e+00,6.654e+02,0.294,0.277,0.039,0.176,0.162
42.9,5.084e+02,3.962e+02,2.450e+00,9.070e+02,0.252,0.242,0.039,0.148,0.137
44.5,6.881e+02,5.481e+02,5.706e+00,1.242e+03,0.210,0.209,0.035,0.122,0.113
46.0,6.669e+02,6.552e+02,1.424e+01,1.336e+03,0.168,0.176,0.030,0.099,0.093
47.6,6.113e+02,1.016e+03,2.450e+01,1.652e+03,0.127,0.145,0.028,0.078,0.075
49.2,8.002e+02,2.129e+03,3.963e+01,2.969e+03,0.094,0.115,0.031,0.060,0.060
50.8,8.364e+02,2.720e+03,4.413e+01,3.600e+03,0.070,0.087,0.042,0.045,0.049
52.4,9.373e+02,2.114e+03,3.348e+01,3.085e+03,0.062,0.060,0.061,0.034,0.041
54.0,1.691e+03,1.099e+03,1.952e+01,2.810e+03,0.075,0.044,0.092,0.029,0.038
55.6,2.397e+03,4.070e+02,9.100e+00,2.813e+03,0.100,0.035,0.126,0.028,0.037
57.2,1.907e+03,1.100e+02,3.507e+00,2.020e+03,0.134,0.036,0.162,0.030,0.038
58.7,1.004e+03,2.940e+01,2.052e+00,1.035e+03,0.174,0.045,0.200,0.033,0.039
60.3,4.294e+02,2.073e+01,2.007e+00,4.521e+02,0.213,0.059,0.239,0.036,0.040
61.9,1.771e+02,2.966e+01,2.128e+00,2.089e+02,0.251,0.075,0.279,0.038,0.040
63.5,7.266e+01,3.967e+01,1.957e+00,1.143e+02,0.289,0.089,0.319,0.038,0.039
65.1,2.652e+01,4.424e+01,1.663e+00,7.243e+01,0.326,0.101,0.358,0.038,0.038
66.7,8.091e+00,3.894e+01,1.709e+00,4.874e+01,0.362,0.112,0.396,0.036,0.036
68.3,6.351e+00,3.296e+01,1.583e+00,4.089e+01,0.397,0.120,0.432,0.033,0.033
69.9,8.017e+00,3.279e+01,1.508e+00,4.231e+01,0.430,0.126,0.466,0.030,0.029
71.4,1.393e+01,3.747e+01,1.592e+00,5.299e+01,0.463,0.131,0.497,0.025,0.025
73.0,2.734e+01,4.688e+01,1.908e+00,7.613e+01,0.494,0.133,0.525,0.020,0.021
74.6,3.956e+01,5.688e+01,2.760e+00,9.920e+01,0.524,0.133,0.550,0.015,0.017
76.2,3.088e+01,5.927e+01,2.860e+00,9.300e+01,0.553,0.131,0.571,0.012,0.014
77.8,1.933e+01,6.626e+01,2.235e+00,8.783e+01,0.580,0.128,0.588,0.011,0.012
79.4,2.141e+01,8.423e+01,1.733e+00,1.074e+02,0.605,0.122,0.601,0.011,0.012
81.0,2.993e+01,1.121e+02,1.620e+00,1.436e+02,0.629,0.114,0.610,0.013,0.014
82.6,4.109e+01,1.403e+02,1.663e+00,1.831e+02,0.651,0.105,0.614,0.017,0.017
84.1,5.362e+01,1.533e+02,1.829e+00,2.088e+02,0.672,0.097,0.613,0.022,0.020
85.7,6.992e+01,1.691e+02,2.118e+00,2.411e+02,0.691,0.092,0.609,0.025,0.023
87.3,9.376e+01,2.089e+02,2.621e+00,3.053e+02,0.709,0.087,0.600,0.028,0.025
88.9,1.084e+02,2.558e+02,2.800e+00,3.669e+02,0.724,0.083,0.587,0.031,0.028
90.5,8.888e+01,2.562e+02,5.385e+00,3.505e+02,0.738,0.081,0.570,0.032,0.029
92.1,8.728e+01,2.308e+02,9.501e+00,3.276e+02,0.750,0.081,0.549,0.032,0.030
93.7,1.179e+02,1.877e+02,1.132e+01,3.169e+02,0.760,0.083,0.525,0.030,0.030
95.3,1.792e+02,1.273e+02,9.956e+00,3.164e+02,0.769,0.088,0.499,0.028,0.029
96.8,2.416e+02,7.703e+01,7.468e+00,3.261e+02,0.775,0.096,0.469,0.027,0.028
98.4,3.597e+02,5.031e+01,9.614e+00,4.196e+02,0.780,0.106,0.438,0.027,0.026
100.0,5.190e+02,4.317e+01,1.214e+01,5.743e+02,0.783,0.118,0.405,0.027,0.024
